Train Model: ResNet, Using device cuda:0

Accuracy for class bzx   is: 63.2 %
Accuracy for class cwx   is: 43.7 %
Accuracy for class hdx   is: 57.6 %
Accuracy for class mtx   is: 37.1 %
Accuracy for class nqx   is: 43.1 %
Accuracy for class nzx   is: 52.8 %
Accuracy for class qtx   is: 55.8 %
Accuracy for class sjx   is: 82.3 %
Accuracy for class zxx   is: 45.5 %

========== Train Epoch 36 ==========
Loss: 0.161	Accuracy: 54 %
Accuracy for class bzx   is: 71.7 %
Accuracy for class cwx   is: 53.4 %
Accuracy for class hdx   is: 48.5 %
Accuracy for class mtx   is: 43.1 %
Accuracy for class nqx   is: 54.1 %
Accuracy for class nzx   is: 64.8 %
Accuracy for class qtx   is: 48.3 %
Accuracy for class sjx   is: 66.7 %
Accuracy for class zxx   is: 45.5 %

========== Train Epoch 37 ==========
Loss: 0.140	Accuracy: 58 %
Accuracy for class bzx   is: 62.3 %
Accuracy for class cwx   is: 63.1 %
Accuracy for class hdx   is: 48.5 %
Accuracy for class mtx   is: 42.2 %
Accuracy for class nqx   is: 56.9 %
Accuracy for class nzx   is: 63.9 %
Accuracy for class qtx   is: 56.7 %
Accuracy for class sjx   is: 76.0 %
Accuracy for class zxx   is: 59.8 %

========== Train Epoch 38 ==========
Loss: 0.125	Accuracy: 56 %
Accuracy for class bzx   is: 75.5 %
Accuracy for class cwx   is: 53.4 %
Accuracy for class hdx   is: 41.4 %
Accuracy for class mtx   is: 39.7 %
Accuracy for class nqx   is: 53.2 %
Accuracy for class nzx   is: 65.7 %
Accuracy for class qtx   is: 61.7 %
Accuracy for class sjx   is: 64.6 %
Accuracy for class zxx   is: 53.6 %

========== Train Epoch 39 ==========
Loss: 0.078	Accuracy: 56 %
Accuracy for class bzx   is: 64.2 %
Accuracy for class cwx   is: 46.6 %
Accuracy for class hdx   is: 60.6 %
Accuracy for class mtx   is: 49.1 %
Accuracy for class nqx   is: 44.0 %
Accuracy for class nzx   is: 63.9 %
Accuracy for class qtx   is: 58.3 %
Accuracy for class sjx   is: 75.0 %
Accuracy for class zxx   is: 50.9 %

========== Train Epoch 40 ==========
Loss: 0.099	Accuracy: 54 %
Accuracy for class bzx   is: 68.9 %
Accuracy for class cwx   is: 60.2 %
Accuracy for class hdx   is: 47.5 %
Accuracy for class mtx   is: 32.8 %
Accuracy for class nqx   is: 50.5 %
Accuracy for class nzx   is: 67.6 %
Accuracy for class qtx   is: 55.0 %
Accuracy for class sjx   is: 61.5 %
Accuracy for class zxx   is: 49.1 %

========== Train Epoch 41 ==========
Loss: 0.074	Accuracy: 56 %
Accuracy for class bzx   is: 64.2 %
Accuracy for class cwx   is: 51.5 %
Accuracy for class hdx   is: 68.7 %
Accuracy for class mtx   is: 38.8 %
Accuracy for class nqx   is: 49.5 %
Accuracy for class nzx   is: 63.9 %
Accuracy for class qtx   is: 58.3 %
Accuracy for class sjx   is: 66.7 %
Accuracy for class zxx   is: 54.5 %

========== Train Epoch 42 ==========
Loss: 0.064	Accuracy: 58 %
Accuracy for class bzx   is: 61.3 %
Accuracy for class cwx   is: 63.1 %
Accuracy for class hdx   is: 53.5 %
Accuracy for class mtx   is: 40.5 %
Accuracy for class nqx   is: 52.3 %
Accuracy for class nzx   is: 67.6 %
Accuracy for class qtx   is: 55.8 %
Accuracy for class sjx   is: 72.9 %
Accuracy for class zxx   is: 59.8 %

========== Train Epoch 43 ==========
Loss: 0.078	Accuracy: 57 %
Accuracy for class bzx   is: 62.3 %
Accuracy for class cwx   is: 53.4 %
Accuracy for class hdx   is: 67.7 %
Accuracy for class mtx   is: 39.7 %
Accuracy for class nqx   is: 54.1 %
Accuracy for class nzx   is: 59.3 %
Accuracy for class qtx   is: 59.2 %
Accuracy for class sjx   is: 70.8 %
Accuracy for class zxx   is: 55.4 %

========== Train Epoch 44 ==========
Loss: 0.096	Accuracy: 56 %
Accuracy for class bzx   is: 67.9 %
Accuracy for class cwx   is: 49.5 %
Accuracy for class hdx   is: 44.4 %
Accuracy for class mtx   is: 52.6 %
Accuracy for class nqx   is: 45.9 %
Accuracy for class nzx   is: 64.8 %
Accuracy for class qtx   is: 60.8 %
Accuracy for class sjx   is: 69.8 %
Accuracy for class zxx   is: 55.4 %

========== Train Epoch 45 ==========
Loss: 0.099	Accuracy: 56 %
Accuracy for class bzx   is: 62.3 %
Accuracy for class cwx   is: 55.3 %
Accuracy for class hdx   is: 48.5 %
Accuracy for class mtx   is: 35.3 %
Accuracy for class nqx   is: 61.5 %
Accuracy for class nzx   is: 50.9 %
Accuracy for class qtx   is: 66.7 %
Accuracy for class sjx   is: 70.8 %
Accuracy for class zxx   is: 55.4 %

========== Train Epoch 46 ==========
Loss: 0.078	Accuracy: 59 %
Accuracy for class bzx   is: 60.4 %
Accuracy for class cwx   is: 54.4 %
Accuracy for class hdx   is: 55.6 %
Accuracy for class mtx   is: 44.0 %
Accuracy for class nqx   is: 61.5 %
Accuracy for class nzx   is: 63.9 %
Accuracy for class qtx   is: 58.3 %
Accuracy for class sjx   is: 76.0 %
Accuracy for class zxx   is: 63.4 %

========== Train Epoch 47 ==========
Loss: 0.070	Accuracy: 58 %
Accuracy for class bzx   is: 60.4 %
Accuracy for class cwx   is: 55.3 %
Accuracy for class hdx   is: 56.6 %
Accuracy for class mtx   is: 50.0 %
Accuracy for class nqx   is: 54.1 %
Accuracy for class nzx   is: 65.7 %
Accuracy for class qtx   is: 65.0 %
Accuracy for class sjx   is: 60.4 %
Accuracy for class zxx   is: 58.0 %

========== Train Epoch 48 ==========
Loss: 0.066	Accuracy: 58 %
Accuracy for class bzx   is: 68.9 %
Accuracy for class cwx   is: 50.5 %
Accuracy for class hdx   is: 65.7 %
Accuracy for class mtx   is: 44.8 %
Accuracy for class nqx   is: 49.5 %
Accuracy for class nzx   is: 64.8 %
Accuracy for class qtx   is: 60.0 %
Accuracy for class sjx   is: 68.8 %
Accuracy for class zxx   is: 58.0 %

========== Train Epoch 49 ==========
